Player,Year,Origin,Destination,Prev_Yards,Prev_Tackles,Prev_Sacks,Prev_INTs,Success_In_B1G
Terrance Brooks,2024,Texas,Illinois,42.0,20.0,0.0,3.0,0
Kyndrich Breedlove,2024,Colorado,Purdue,0.0,12.0,0.0,0.0,1
Tyler Van Dyke,2024,Miami,Wisconsin,2734.0,0.0,0.0,12.0,1
Kaden Schickel,2024,James Madison,Michigan State,0.0,2.0,0.0,0.0,0
Tackett Curtis,2024,USC,Wisconsin,0.0,37.0,2.0,0.0,1
Dante Dowdell,2024,Oregon,Nebraska,90.0,0.0,0.0,0.0,1
Kamari Ramsey,2024,UCLA,USC,0.0,40.0,0.0,1.0,1
Michael Lantz,2024,Georgia Southern,USC,0.0,0.0,0.0,0.0,0
Drew Tuazama,2024,South Carolina,UCLA,0.0,1.0,0.0,0.0,0
Travis Drosos,2024,South Alabama,UCLA,0.0,0.0,0.0,0.0,0
Keelan Crimmins,2024,Mississippi State,Purdue,2003.0,1.0,0.0,0.0,1
Hank Pepper,2024,Michigan State,USC,0.0,0.0,0.0,0.0,0
Caleb Downs,2024,Alabama,Ohio State,98.0,107.0,0.0,2.0,1
Easton Mascarenas-Arnold,2024,Oregon State,USC,10.0,106.0,2.0,2.0,1
Derek McCormick,2024,UL Monroe,Indiana,0.0,0.0,0.0,0.0,0
Brody Richter,2024,Northern Arizona,UCLA,939.0,0.0,0.0,0.0,1
Evan Stewart,2024,Texas A&M,Oregon,511.0,0.0,0.0,0.0,1
A.J. Harris,2024,Georgia,Penn State,0.0,8.0,0.0,0.0,1
Ethan Moczulski,2024,Texas A&M,Illinois,0.0,0.0,0.0,0.0,0
Quinshon Judkins,2024,Ole Miss,Ohio State,1307.0,0.0,0.0,0.0,1
Jabbar Muhammad,2024,Washington,Oregon,53.0,44.0,2.0,3.0,1
Max Brosmer,2024,New Hampshire,Minnesota,3586.0,0.0,0.0,6.0,1
Ephesians Prysock,2024,Arizona,Washington,0.0,64.0,0.0,1.0,1
Nyland Green,2024,Georgia,Purdue,0.0,7.0,0.0,0.0,1
Jayden Maiava,2024,UNLV,USC,3362.0,0.0,0.0,10.0,1
Jahmal Banks,2024,Wake Forest,Nebraska,677.0,2.0,0.0,0.0,1
Akili Arnold,2024,Oregon State,USC,83.0,62.0,0.5,2.0,1
CJ West,2024,Kent State,Indiana,0.0,39.0,1.0,0.0,1
Ethan Robinson,2024,Bucknell,Minnesota,76.0,2.0,0.0,3.0,1
Tyler Williams,2024,Georgia,Minnesota,4.0,0.0,0.0,0.0,0
Dante Moore,2024,UCLA,Oregon,1527.0,0.0,0.0,9.0,0
Jaishawn Barham,2024,Maryland,Michigan,11.0,37.0,3.0,1.0,1
Rico Flores,2024,Notre Dame,UCLA,392.0,0.0,0.0,0.0,0
Will Howard,2024,Kansas State,Ohio State,3015.0,0.0,0.0,10.0,1
Wayne Matthews III,2024,Old Dominion,Michigan State,0.0,135.0,3.5,0.0,1
Kurtis Rourke,2024,Ohio,Indiana,2433.0,0.0,0.0,5.0,1
Nate Clifton,2024,Vanderbilt,USC,5.0,30.0,5.5,1.0,1
Jalen Huskey,2024,Bowling Green,Maryland,42.0,52.0,0.0,4.0,1
Julian Fleming,2024,Ohio State,Penn State,274.0,1.0,0.0,0.0,0
Jonah Coleman,2024,Arizona,Washington,1154.0,0.0,0.0,0.0,1
Derrick Harmon,2024,Michigan State,Oregon,0.0,40.0,1.5,0.0,1
Dymere Miller,2024,Monmouth,Rutgers,1335.0,0.0,0.0,0.0,1
Leon Lowery,2024,Syracuse,Wisconsin,0.0,45.0,3.5,0.0,1
John Pius,2024,William & Mary,Wisconsin,0.0,8.0,2.5,0.0,1
Will Kacmarek,2024,Ohio,Ohio State,248.0,0.0,0.0,0.0,0
Jaheim Thomas,2024,Arkansas,Wisconsin,0.0,89.0,2.5,0.0,1
Will Rogers,2024,Mississippi State,Washington,1613.0,0.0,0.0,4.0,1
Bryun Parham,2024,San José State,Washington,20.0,106.0,1.5,1.0,0
Sieh Bangura,2024,Ohio,Minnesota,970.0,2.0,0.0,0.0,0
Jeremiah Hunter,2024,California,Washington,810.0,1.0,0.0,0.0,1
Elijah Sarratt,2024,James Madison,Indiana,1192.0,0.0,0.0,0.0,1
Brandon Johnson,2024,Duke,Oregon,0.0,49.0,2.0,0.0,1
Kobe Savage,2024,Kansas State,Oregon,7.0,57.0,0.0,3.0,1
James Carpenter,2024,James Madison,Indiana,36.0,53.0,4.0,1.0,1
Isaiah Neyor,2024,Texas,Nebraska,14.0,0.0,0.0,0.0,1
Tommy Schuster,2024,North Dakota,Michigan State,2122.0,0.0,0.0,5.0,0
Jackson McGohan,2024,LSU,Wisconsin,0.0,1.0,0.0,0.0,0
Elijah Green,2024,North Carolina,Indiana,12.0,0.0,0.0,0.0,0
Tyrell Henry,2024,Michigan State,Wisconsin,505.0,1.0,0.0,0.0,0
Shawn Asbury II,2024,Old Dominion,Indiana,46.0,95.0,0.0,1.0,1
Quindarius Dunnigan,2024,Middle Tennessee,Michigan State,0.0,34.0,2.0,0.0,0
Elijah Hills,2024,UAlbany,Wisconsin,0.0,8.0,0.0,0.0,1
Kaelon Black,2024,James Madison,Indiana,875.0,1.0,0.0,0.0,0
D'Quan Douse,2024,Georgia Tech,Michigan State,0.0,32.0,2.0,0.0,1
Jailin Walker,2024,James Madison,Indiana,0.0,61.0,1.5,0.0,1
Russell Davis II,2024,Arizona,Washington,0.0,17.0,3.5,0.0,0
MJ Morris,2024,NC State,Maryland,734.0,0.0,0.0,5.0,1
Miles Cross,2024,Ohio,Indiana,606.0,0.0,0.0,0.0,1
Tawee Walker,2024,Oklahoma,Wisconsin,594.0,0.0,0.0,0.0,1
Jordan Turner,2024,Wisconsin,Michigan State,0.0,61.0,3.0,0.0,1
Isaiah Ward,2024,Arizona,Washington,0.0,30.0,4.0,0.0,1
Stefon Thompson,2024,Syracuse,Nebraska,0.0,49.0,1.5,0.0,1
Cameron Broussard,2024,Sacramento State,Washington,13.0,11.0,0.0,2.0,1
Jalen Kimber,2024,Florida,Penn State,0.0,23.0,0.0,0.0,1
Myles Price,2024,Texas Tech,Indiana,607.0,1.0,0.0,0.0,1
Aamir Hall,2024,UAlbany,Michigan,57.0,6.0,0.0,5.0,1
Keleki Latu,2024,Nevada,Washington,179.0,0.0,0.0,0.0,1
DeShawn Lynch,2024,Sacramento State,Washington,0.0,4.0,1.0,0.0,1
Marcus Major,2024,Oklahoma,Minnesota,383.0,0.0,0.0,0.0,1
Cristian Driver,2024,Penn State,Minnesota,8.0,2.0,0.0,0.0,0
Jay Fair,2024,Auburn,USC,313.0,0.0,0.0,0.0,0
DeCarlos Nicholson,2024,Mississippi State,USC,0.0,42.0,0.0,0.0,1
Sebastian Cheeks,2024,North Carolina,Wisconsin,0.0,1.0,0.0,0.0,0
Jeremiah Hughes,2024,LSU,Michigan State,0.0,6.0,0.0,0.0,0
Jaren Mangham,2024,Michigan State,Minnesota,108.0,1.0,0.0,0.0,0
Jacob Busic,2024,Navy,UCLA,0.0,4.0,1.0,0.0,0
Ke'Shawn Williams,2024,Wake Forest,Indiana,600.0,1.0,0.0,0.0,1
Aiden Fisher,2024,James Madison,Indiana,12.0,107.0,1.5,1.0,1
Ramon Henderson,2024,Notre Dame,UCLA,0.0,12.0,0.0,1.0,1
Anthony Jones,2024,Indiana,Michigan State,0.0,12.0,0.0,0.0,1
Tyrique Tucker,2024,James Madison,Indiana,0.0,30.0,1.5,0.0,1
Malcolm Ray,2024,Florida State,Rutgers,0.0,16.0,0.0,0.0,1
Kyle Ford,2024,UCLA,USC,236.0,0.0,0.0,0.0,1
Zakhari Franklin,2024,Ole Miss,Illinois,38.0,1.0,0.0,0.0,1
Marcellius Pulliam,2024,Miami,Michigan State,14.0,1.0,0.0,1.0,0
Justice Ellison,2024,Wake Forest,Indiana,609.0,0.0,0.0,0.0,1
Brandon Lane,2024,Stephen F. Austin,Wisconsin,0.0,7.0,0.0,0.0,0
Jamarius Dinkins,2024,Kentucky,Purdue,0.0,8.0,0.0,0.0,0
Shitta Sillah,2024,Boston College,Purdue,0.0,14.0,2.0,0.0,1
Justin Harrington,2024,Oklahoma,Washington,5.0,2.0,0.0,1.0,0
Ru'Quan Buckley,2024,Nebraska,Michigan State,0.0,1.0,0.0,0.0,0
Kam Brown,2024,UCLA,Purdue,163.0,1.0,0.0,0.0,0
Brendan Sullivan,2024,Northwestern,Iowa,874.0,0.0,0.0,2.0,1
Cedarius Doss,2024,Austin Peay,Indiana,28.0,6.0,0.0,3.0,0
Bryan Addison,2024,Oregon,UCLA,0.0,11.0,0.0,1.0,1
Mike Wright,2024,Mississippi State,Northwestern,777.0,0.0,0.0,3.0,1
Ty Son Lawton,2024,James Madison,Indiana,742.0,0.0,0.0,0.0,1
