Player,Position,Year,Origin,Destination,Prev_Pass_Yds,Prev_Rush_Rec_Yds,Prev_Pass_INTs,Prev_Def_INTs,Prev_Tackles,Prev_Sacks,Success_In_B1G
Jarrett Jackson,DL,2023,Florida State,Michigan State,0.0,0.0,0.0,0.0,12.0,0.0,0
Tyneil Hopper,TE,2023,Boise State,Michigan State,0.0,108.0,0.0,0.0,0.0,0.0,0
Cade McNamara,QB,2023,Michigan,Iowa,150.0,0.0,1.0,0.0,0.0,0.0,0
Jason Maitre,S,2023,Boston College,Wisconsin,0.0,0.0,0.0,1.0,42.0,1.0,1
Jeff Pietrowski,EDGE,2023,Michigan State,Wisconsin,0.0,0.0,0.0,0.0,7.0,0.0,0
Nicolas Toomer,CB,2023,Stanford,Indiana,0.0,0.0,0.0,0.0,7.0,0.0,1
Nathan Carter,RB,2023,UConn,Michigan State,0.0,444.0,0.0,0.0,0.0,0.0,1
Michael Dixon,S,2023,Minnesota,Rutgers,0.0,0.0,0.0,0.0,28.0,0.0,1
Cam Johnson,WR,2023,Arizona State,Northwestern,0.0,93.0,0.0,0.0,0.0,0.0,1
Jalen Sami,DL,2023,Colorado,Michigan State,0.0,0.0,0.0,0.0,28.0,0.0,0
Jaylan Franklin,TE,2023,Wisconsin,Michigan State,0.0,40.0,0.0,0.0,0.0,0.0,0
Christian Turner,RB,2023,Wake Forest,Indiana,0.0,555.0,0.0,0.0,0.0,0.0,0
Daniyel Ngata,RB,2023,Arizona State,Washington,0.0,736.0,0.0,0.0,0.0,0.0,1
Jamier Johnson,CB,2023,Texas,Indiana,0.0,0.0,0.0,0.0,4.0,0.0,0
Isaiah Nichols,DL,2023,Arkansas,Purdue,0.0,0.0,0.0,0.0,16.0,0.0,0
Tanner Arkin,TE,2023,Colorado State,Illinois,0.0,117.0,0.0,0.0,0.0,0.0,0
Josh Fleeks,WR,2023,Baylor,Nebraska,0.0,86.0,0.0,0.0,0.0,0.0,0
Jack Tuttle,QB,2023,Indiana,Michigan,90.0,0.0,0.0,0.0,0.0,0.0,0
Will Pauling,WR,2023,Cincinnati,Wisconsin,0.0,114.0,0.0,0.0,1.0,0.0,1
Denzel Daxon,DL,2023,Ohio,Illinois,0.0,0.0,0.0,0.0,3.0,0.0,1
Joshua Rudolph,LB,2023,Austin Peay,Indiana,0.0,0.0,0.0,0.0,12.0,0.0,0
Lanell Carr,LB,2023,West Virginia,Indiana,0.0,0.0,0.0,0.0,21.0,1.0,1
Connor Soelle,LB,2023,Arizona State,Oregon,0.0,0.0,0.0,0.0,29.0,0.0,0
Jeff Sims,QB,2023,Georgia Tech,Nebraska,1404.0,0.0,3.0,0.0,0.0,0.0,0
Riley Thompson,P,2023,Florida Atlantic,Penn State,0.0,0.0,0.0,0.0,0.0,0.0,1
Blake Glessner,K,2023,Montana State,UCLA,0.0,0.0,0.0,0.0,0.0,0.0,0
James Turner,K,2023,Louisville,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0
Bryce McFerson,P,2024,Notre Dame,Maryland,0.0,0.0,0.0,0.0,1.0,0.0,1
Dillon Gabriel,QB,2024,Oklahoma,Oregon,4070.0,0.0,6.0,0.0,1.0,0.0,1
Reggie Love III,RB,2024,Illinois,Purdue,0.0,632.0,0.0,0.0,1.0,0.0,1
Nikai Martinez,CB,2024,UCF,Michigan State,0.0,0.0,0.0,3.0,49.0,0.0,1
