School,Year,Total_Players,Underclassmen,Upperclassmen,Total_Transfers_Incoming,Pct_Transfers,Pct_Non_Transfers
Wabash College,2023,12,0,1,0.0,0.0,100.0
Wagner,2022,108,36,72,1.0,0.9259259259259258,99.07407407407408
Wagner,2023,60,15,39,1.0,1.6666666666666667,98.33333333333333
Wagner,2024,57,12,37,2.0,3.508771929824561,96.49122807017544
Wagner,2025,150,94,55,1.0,0.6666666666666667,99.33333333333333
Wake Forest,2022,121,23,98,4.0,3.3057851239669422,96.69421487603306
Wake Forest,2023,124,43,81,3.0,2.4193548387096775,97.58064516129032
Wake Forest,2024,123,58,64,5.0,4.0650406504065035,95.9349593495935
Wake Forest,2025,121,70,51,33.0,27.27272727272727,72.72727272727273
Warner University,2022,14,0,2,0.0,0.0,100.0
Warner University,2024,14,0,1,0.0,0.0,100.0
Warner University,2025,18,1,0,0.0,0.0,100.0
Washington,2022,117,26,91,9.0,7.6923076923076925,92.3076923076923
Washington,2023,119,42,77,10.0,8.403361344537815,91.59663865546219
Washington,2024,110,48,62,27.0,24.545454545454547,75.45454545454545
Washington,2025,105,63,42,18.0,17.142857142857142,82.85714285714286
Washington State,2022,121,31,90,9.0,7.43801652892562,92.56198347107438
Washington State,2023,125,47,77,9.0,7.199999999999999,92.8
Washington State,2024,122,66,56,12.0,9.836065573770492,90.1639344262295
Washington State,2025,119,78,41,34.0,28.57142857142857,71.42857142857143
Webber International,2023,16,1,0,0.0,0.0,100.0
Webber International,2025,17,0,0,0.0,0.0,100.0
Weber State,2022,105,33,72,0.0,0.0,100.0
Weber State,2023,49,13,33,2.0,4.081632653061225,95.91836734693878
Weber State,2024,48,16,29,5.0,10.416666666666668,89.58333333333333
Weber State,2025,106,65,41,7.0,6.60377358490566,93.39622641509433
West Florida,2023,14,3,1,0.0,0.0,100.0
West Georgia,2024,30,9,15,3.0,10.0,90.0
West Georgia,2025,135,78,43,5.0,3.7037037037037033,96.29629629629629
West Liberty,2025,14,1,0,0.0,0.0,100.0
West Virginia,2022,112,27,84,11.0,9.821428571428571,90.17857142857143
West Virginia,2023,117,38,79,14.0,11.965811965811966,88.03418803418803
West Virginia,2024,130,65,63,13.0,10.0,90.0
West Virginia,2025,125,56,69,51.0,40.8,59.2
West Virginia State,2023,16,0,2,0.0,0.0,100.0
West Virginia Wesleyan,2024,14,0,1,0.0,0.0,100.0
Western Carolina,2022,127,54,67,1.0,0.7874015748031495,99.21259842519684
Western Carolina,2023,57,17,38,1.0,1.7543859649122806,98.24561403508773
Western Carolina,2024,51,23,23,0.0,0.0,100.0
Western Carolina,2025,120,83,37,5.0,4.166666666666666,95.83333333333333
Western Connecticut St,2025,11,0,0,0.0,0.0,100.0
Western Illinois,2022,113,32,81,3.0,2.6548672566371683,97.34513274336283
Western Illinois,2023,47,10,24,0.0,0.0,100.0
Western Illinois,2024,53,13,31,5.0,9.433962264150944,90.56603773584905
Western Illinois,2025,111,60,50,3.0,2.7027027027027026,97.29729729729729
Western Kentucky,2022,113,26,86,14.0,12.389380530973451,87.61061946902655
Western Kentucky,2023,116,31,83,12.0,10.344827586206897,89.65517241379311
Western Kentucky,2024,113,35,78,21.0,18.58407079646018,81.41592920353982
Western Kentucky,2025,104,47,57,42.0,40.38461538461539,59.61538461538461
Western Michigan,2022,112,28,84,5.0,4.464285714285714,95.53571428571429
Western Michigan,2023,108,36,72,6.0,5.555555555555555,94.44444444444444
Western Michigan,2024,113,48,64,11.0,9.734513274336283,90.26548672566372
Western Michigan,2025,107,49,56,23.0,21.49532710280374,78.50467289719626
Western New Mexico,2022,14,1,1,1.0,7.142857142857142,92.85714285714286
Western Oregon,2022,12,0,0,0.0,0.0,100.0
Western Oregon,2023,11,0,0,0.0,0.0,100.0
Western Oregon,2024,18,1,0,0.0,0.0,100.0
Western Oregon,2025,15,1,0,0.0,0.0,100.0
Wheeling,2024,11,0,1,0.0,0.0,100.0
William & Mary,2022,93,32,61,0.0,0.0,100.0
William & Mary,2023,40,15,25,0.0,0.0,100.0
William & Mary,2024,50,26,24,2.0,4.0,96.0
William & Mary,2025,102,62,40,4.0,3.9215686274509802,96.07843137254902
William Jewell,2022,16,0,2,0.0,0.0,100.0
Wilson,2022,16,0,0,0.0,0.0,100.0
Wilson,2023,9,0,0,0.0,0.0,100.0
Winston-Salem,2022,12,1,0,0.0,0.0,100.0
Winston-Salem,2023,16,1,1,0.0,0.0,100.0
Winston-Salem,2024,16,2,0,0.0,0.0,100.0
Wisconsin,2022,120,15,105,6.0,5.0,95.0
Wisconsin,2023,122,29,93,14.0,11.475409836065573,88.52459016393442
Wisconsin,2024,121,51,68,16.0,13.223140495867769,86.77685950413223
Wisconsin,2025,116,62,54,18.0,15.517241379310345,84.48275862068965
Wisconsin-Stevens Pt,2023,17,0,0,0.0,0.0,100.0
Wofford,2022,113,41,72,0.0,0.0,100.0
Wofford,2023,53,15,34,0.0,0.0,100.0
Wofford,2024,45,22,21,3.0,6.666666666666667,93.33333333333333
Wofford,2025,125,99,25,6.0,4.8,95.2
Wyoming,2022,114,35,79,3.0,2.631578947368421,97.36842105263158
Wyoming,2023,117,40,77,3.0,2.564102564102564,97.43589743589743
Wyoming,2024,120,59,61,3.0,2.5,97.5
Wyoming,2025,116,74,42,17.0,14.655172413793101,85.3448275862069
Yale,2022,113,21,92,0.0,0.0,100.0
Yale,2023,34,4,29,0.0,0.0,100.0
Yale,2024,33,8,24,0.0,0.0,100.0
Yale,2025,104,53,51,1.0,0.9615384615384616,99.03846153846153
Youngstown State,2022,95,41,54,1.0,1.0526315789473684,98.94736842105263
Youngstown State,2023,47,15,30,0.0,0.0,100.0
Youngstown State,2024,43,13,25,8.0,18.6046511627907,81.3953488372093
Youngstown State,2025,113,61,52,4.0,3.5398230088495577,96.46017699115045
