School,Conference,Year,Team_Record,Conference_Champ,End_of_Year_AP_Rank,Total_Players,Underclassmen,Upperclassmen,Pct_Non_Transfers,Total_Transfers_Incoming,Pct_Transfers
Central Arkansas,UAC,2025,3-9,TBD,N/A,116,65,50,91.3793103448276,10.0,8.620689655172415
Central Connecticut,NEC,2022,2-9,TBD,N/A,95,43,52,100.0,0.0,0.0
Central Connecticut,NEC,2023,3-8,TBD,N/A,54,14,27,100.0,0.0,0.0
Central Connecticut,NEC,2024,7-6,TBD,N/A,53,18,30,96.22641509433964,2.0,3.7735849056603774
Central Connecticut,NEC,2025,8-5,TBD,N/A,102,60,42,98.03921568627452,2.0,1.96078431372549
Central Michigan,Mid-American,2022,4-8,TBD,N/A,120,32,88,98.33333333333331,2.0,1.6666666666666667
Central Michigan,Mid-American,2023,5-7,TBD,N/A,118,46,70,98.30508474576273,2.0,1.694915254237288
Central Michigan,Mid-American,2024,4-8,TBD,N/A,118,55,63,94.91525423728814,6.0,5.084745762711865
Central Michigan,Mid-American,2025,7-6,TBD,N/A,107,59,46,90.65420560747664,10.0,9.345794392523365
Central State (OH),SIAC,2023,5-5,TBD,N/A,13,3,1,100.0,0.0,0.0
Central State (OH),SIAC,2024,1-9,TBD,N/A,14,0,0,100.0,0.0,0.0
Central State (OH),SIAC,2025,3-7,TBD,N/A,15,0,0,100.0,0.0,0.0
Central Washington,Lone Star,2024,8-4,TBD,N/A,10,0,0,90.0,1.0,10.0
Central Washington,Lone Star,2025,10-2,TBD,N/A,15,4,0,86.66666666666667,2.0,13.333333333333334
Chadron St,Rocky Mountain,2022,3-8,TBD,N/A,18,0,0,100.0,0.0,0.0
Chadron St,Rocky Mountain,2025,8-4,TBD,N/A,12,2,0,100.0,0.0,0.0
Charleston Southern,Big South,2022,2-8,TBD,N/A,103,62,40,100.0,0.0,0.0
Charleston Southern,Big South-OVC,2023,4-7,TBD,N/A,57,24,21,100.0,0.0,0.0
Charleston Southern,Big South-OVC,2024,1-11,TBD,N/A,49,19,23,100.0,0.0,0.0
Charleston Southern,Big South-OVC,2025,5-7,TBD,N/A,108,69,38,96.29629629629628,4.0,3.7037037037037033
Charlotte,Conference USA,2022,3-9,TBD,N/A,127,44,83,97.63779527559056,3.0,2.3622047244094486
Charlotte,American Athletic,2023,3-9,TBD,N/A,122,36,84,86.06557377049181,17.0,13.934426229508196
Charlotte,American Athletic,2024,5-7,TBD,N/A,118,41,77,76.27118644067797,28.0,23.728813559322035
Charlotte,American Athletic,2025,1-11,TBD,N/A,109,43,58,68.80733944954127,34.0,31.19266055045872
Chattanooga,Southern,2022,7-4,TBD,N/A,87,35,52,95.40229885057472,4.0,4.597701149425287
Chattanooga,Southern,2023,8-5,TBD,N/A,40,12,27,100.0,0.0,0.0
Chattanooga,Southern,2024,7-5,TBD,N/A,51,18,31,92.15686274509804,4.0,7.84313725490196
Chattanooga,Southern,2025,5-7,TBD,N/A,103,63,39,94.1747572815534,6.0,5.825242718446602
Cincinnati,American Athletic,2022,9-4,TBD,24,116,17,99,93.96551724137932,7.0,6.0344827586206895
Cincinnati,Big 12,2023,3-9,TBD,N/A,112,29,83,81.25,21.0,18.75
Cincinnati,Big 12,2024,5-7,TBD,N/A,116,48,68,79.3103448275862,24.0,20.689655172413797
Cincinnati,Big 12,2025,7-6,TBD,N/A,110,65,45,81.81818181818181,20.0,18.181818181818183
Clark Atlanta,SIAC,2024,7-3,TBD,N/A,11,0,0,100.0,0.0,0.0
Clemson,ACC,2022,11-3,TBD,5,135,12,123,99.25925925925924,1.0,0.7407407407407408
Clemson,ACC,2023,9-4,TBD,N/A,134,32,101,99.25373134328358,1.0,0.7462686567164178
Clemson,ACC,2024,10-4,TBD,13,136,58,78,100.0,0.0,0.0
Clemson,ACC,2025,7-6,TBD,N/A,126,69,57,96.82539682539682,4.0,3.1746031746031744
Coastal Carolina,Sun Belt,2022,9-4,TBD,N/A,120,26,94,96.66666666666669,4.0,3.333333333333333
Coastal Carolina,Sun Belt,2023,8-5,TBD,N/A,116,22,94,88.79310344827586,13.0,11.20689655172414
Coastal Carolina,Sun Belt,2024,6-7,TBD,N/A,120,47,73,85.0,18.0,15.0
Coastal Carolina,Sun Belt,2025,6-7,TBD,N/A,108,45,62,72.22222222222223,30.0,27.77777777777778
Colgate,Patriot,2022,3-8,TBD,N/A,92,17,75,98.91304347826087,1.0,1.0869565217391304
Colgate,Patriot,2023,6-5,TBD,N/A,53,4,46,100.0,0.0,0.0
Colgate,Patriot,2024,2-10,TBD,N/A,40,10,27,100.0,0.0,0.0
Colgate,Patriot,2025,5-7,TBD,N/A,99,58,41,100.0,0.0,0.0
Colorado,Pac-12,2022,1-11,TBD,N/A,119,34,83,94.95798319327731,6.0,5.042016806722689
Colorado,Pac-12,2023,4-8,TBD,N/A,113,31,82,57.52212389380531,48.0,42.47787610619469
Colorado,Big 12,2024,9-4,TBD,20,113,41,69,63.71681415929204,41.0,36.283185840707965
Colorado,Big 12,2025,3-9,TBD,N/A,105,44,60,68.57142857142857,33.0,31.428571428571427
Colorado Mesa,Rocky Mountain,2023,6-5,TBD,N/A,15,1,1,100.0,0.0,0.0
Colorado School Of Mines,Rocky Mountain,2022,13-3,TBD,N/A,11,0,0,90.9090909090909,1.0,9.090909090909092
Colorado School Of Mines,Rocky Mountain,2023,14-1,TBD,N/A,14,1,2,100.0,0.0,0.0
Colorado State,Mountain West,2022,3-9,TBD,N/A,111,27,84,90.09009009009009,11.0,9.90990990990991
Colorado State,Mountain West,2023,5-7,TBD,N/A,114,37,76,91.2280701754386,10.0,8.771929824561402
Colorado State,Mountain West,2024,8-5,TBD,N/A,110,53,57,90.0,11.0,10.0
Colorado State,Mountain West,2025,2-10,TBD,N/A,108,64,44,83.33333333333334,18.0,16.666666666666664
Columbia,Ivy,2022,6-4,TBD,N/A,123,29,93,100.0,0.0,0.0
Columbia,Ivy,2023,3-7,TBD,N/A,28,5,23,100.0,0.0,0.0
Columbia,Ivy,2024,7-3,TBD,N/A,30,6,23,96.66666666666669,1.0,3.333333333333333
Columbia,Ivy,2025,2-8,TBD,N/A,107,53,54,100.0,0.0,0.0
Cornell,Ivy,2022,5-5,TBD,N/A,113,23,90,100.0,0.0,0.0
Cornell,Ivy,2023,3-7,TBD,N/A,34,8,26,100.0,0.0,0.0
Cornell,Ivy,2024,4-6,TBD,N/A,32,9,23,100.0,0.0,0.0
Cornell,Ivy,2025,4-6,TBD,N/A,123,63,60,100.0,0.0,0.0
Cortland,Empire 8,2023,14-1,TBD,N/A,10,0,0,100.0,0.0,0.0
Cumberland (TN),,2025,,,,13,1,1,100.0,0.0,0.0
Dartmouth,Ivy,2022,3-7,TBD,N/A,119,22,97,100.0,0.0,0.0
Dartmouth,Ivy,2023,6-4,TBD,N/A,37,4,32,100.0,0.0,0.0
Dartmouth,Ivy,2024,8-2,TBD,N/A,38,10,28,100.0,0.0,0.0
Dartmouth,Ivy,2025,7-3,TBD,N/A,102,52,50,100.0,0.0,0.0
Davidson,Pioneer,2022,8-4,TBD,N/A,102,34,68,100.0,0.0,0.0
Davidson,Pioneer,2023,7-4,TBD,N/A,43,12,29,100.0,0.0,0.0
Davidson,Pioneer,2024,6-5,TBD,N/A,40,16,23,100.0,0.0,0.0
Davidson,Pioneer,2025,2-10,TBD,N/A,93,53,40,100.0,0.0,0.0
Dayton,Pioneer,2022,8-3,TBD,N/A,111,86,25,100.0,0.0,0.0
Dayton,Pioneer,2023,4-7,TBD,N/A,33,22,10,100.0,0.0,0.0
Dayton,Pioneer,2024,6-5,TBD,N/A,36,18,14,100.0,0.0,0.0
Dayton,Pioneer,2025,7-4,TBD,N/A,110,85,24,97.27272727272728,3.0,2.727272727272727
Delaware,CAA,2022,8-5,TBD,N/A,107,6,101,100.0,0.0,0.0
Delaware,CAA,2023,9-4,TBD,N/A,60,2,54,100.0,0.0,0.0
Delaware,CAA,2024,9-2,TBD,N/A,41,4,37,82.92682926829268,7.0,17.073170731707318
Delaware,Conference USA,2025,7-6,TBD,N/A,111,51,60,92.7927927927928,8.0,7.207207207207207
Delaware State,MEAC,2022,5-6,TBD,N/A,97,42,55,100.0,0.0,0.0
Delaware State,MEAC,2023,1-10,TBD,N/A,56,20,29,100.0,0.0,0.0
Delaware State,MEAC,2024,1-11,TBD,N/A,45,20,20,91.11111111111111,4.0,8.88888888888889
Delaware State,MEAC,2025,8-4,TBD,N/A,98,49,48,91.83673469387756,8.0,8.16326530612245
Delta State,Gulf South,2022,11-2,TBD,N/A,15,2,2,93.33333333333331,1.0,6.666666666666667
Delta State,Gulf South,2023,10-2,TBD,N/A,19,2,1,100.0,0.0,0.0
Drake,Pioneer,2022,3-8,TBD,N/A,116,30,86,99.13793103448276,1.0,0.8620689655172413
Drake,Pioneer,2023,8-4,TBD,N/A,43,5,37,100.0,0.0,0.0
Drake,Pioneer,2024,8-3,TBD,N/A,39,9,28,100.0,0.0,0.0
Drake,Pioneer,2025,8-4,TBD,N/A,121,68,53,98.34710743801652,2.0,1.6528925619834711
Duke,ACC,2022,9-4,TBD,N/A,112,13,98,92.85714285714286,8.0,7.142857142857142
Duke,ACC,2023,8-5,TBD,N/A,110,30,79,94.54545454545456,6.0,5.454545454545454
Duke,ACC,2024,9-4,TBD,N/A,113,47,66,84.070796460177,18.0,15.929203539823009
Duke,ACC,2025,9-5,TBD,N/A,103,66,37,91.2621359223301,9.0,8.737864077669903
Duquesne,NEC,2022,4-7,TBD,N/A,117,59,58,99.14529914529916,1.0,0.8547008547008548
Duquesne,NEC,2023,7-5,TBD,N/A,59,17,31,98.30508474576273,1.0,1.694915254237288
Duquesne,NEC,2024,8-3,TBD,N/A,59,18,33,94.91525423728814,3.0,5.084745762711865
Duquesne,NEC,2025,7-5,TBD,N/A,110,44,66,92.72727272727272,8.0,7.272727272727272
ERSKINE,Gulf South,2024,1-8,TBD,N/A,10,0,0,100.0,0.0,0.0
ERSKINE,Carolinas,2025,1-10,TBD,N/A,16,0,0,100.0,0.0,0.0
East Carolina,American Athletic,2022,8-5,TBD,N/A,120,25,95,88.33333333333333,14.0,11.666666666666666
East Carolina,American Athletic,2023,2-10,TBD,N/A,123,33,90,86.17886178861788,17.0,13.821138211382117
East Carolina,American Athletic,2024,8-5,TBD,N/A,129,57,72,86.82170542635659,17.0,13.178294573643411
East Carolina,American Athletic,2025,9-4,TBD,N/A,124,64,60,80.64516129032258,24.0,19.35483870967742
East Tennessee State,Southern,2022,3-8,TBD,N/A,114,70,41,99.12280701754386,1.0,0.8771929824561403
East Tennessee State,Southern,2023,3-8,TBD,N/A,46,17,19,95.65217391304348,2.0,4.3478260869565215
East Tennessee State,Southern,2024,7-5,TBD,N/A,49,18,27,87.75510204081633,6.0,12.244897959183673
East Tennessee State,Southern,2025,7-5,TBD,N/A,104,57,47,74.03846153846153,27.0,25.961538461538463
East Texas A&M,Southland,2022,5-6,TBD,N/A,109,48,60,100.0,0.0,0.0
East Texas A&M,Southland,2023,2-9,TBD,N/A,59,27,25,100.0,0.0,0.0
East Texas A&M,Southland,2024,3-9,TBD,N/A,56,18,31,100.0,0.0,0.0
East Texas A&M,Southland,2025,3-9,TBD,N/A,104,51,51,95.1923076923077,5.0,4.807692307692308
Eastern Illinois,OVC,2022,2-9,TBD,N/A,111,59,52,98.1981981981982,2.0,1.8018018018018016
Eastern Illinois,Big South-OVC,2023,8-3,TBD,N/A,46,18,23,100.0,0.0,0.0
Eastern Illinois,Big South-OVC,2024,3-9,TBD,N/A,50,22,22,94.0,3.0,6.0
Eastern Illinois,Big South-OVC,2025,3-9,TBD,N/A,111,55,56,97.29729729729728,3.0,2.702702702702702
Eastern Kentucky,Atlantic Sun,2022,7-5,TBD,N/A,105,48,57,96.1904761904762,4.0,3.8095238095238098
Eastern Kentucky,UAC,2023,5-6,TBD,N/A,50,20,27,98.0,1.0,2.0
Eastern Kentucky,UAC,2024,8-5,TBD,N/A,49,21,23,93.87755102040816,3.0,6.122448979591836
Eastern Kentucky,UAC,2025,5-7,TBD,N/A,116,72,44,97.41379310344828,3.0,2.586206896551724
Eastern Michigan,Mid-American,2022,9-4,TBD,N/A,125,13,112,96.0,5.0,4.0
Eastern Michigan,Mid-American,2023,6-7,TBD,N/A,116,19,96,95.6896551724138,5.0,4.310344827586207
Eastern Michigan,Mid-American,2024,5-7,TBD,N/A,121,37,82,82.64462809917356,21.0,17.355371900826448
Eastern Michigan,Mid-American,2025,4-8,TBD,N/A,113,47,65,82.30088495575221,20.0,17.699115044247787
Eastern New Mexico,Lone Star,2022,3-8,TBD,N/A,13,0,1,92.3076923076923,1.0,7.6923076923076925
Eastern Washington,Big Sky,2022,3-8,TBD,N/A,107,57,50,100.0,0.0,0.0
Eastern Washington,Big Sky,2023,4-7,TBD,N/A,48,18,29,93.75,3.0,6.25
